what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1321296037884
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ui,1321296037884
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1321296037884
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1321296037884
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1321296037900
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1321296037900
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.help.ui,1321296037900
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.bugs,1321296037900
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1321296037900
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,org.tigris.subversion.subclipse.graph,1321296037900
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.2,org.tigris.subversion.subclipse.ui,1321296037900
stopped,bundle,com.python.pydev.codecompletion,2.0.0.2011040403,com.python.pydev.codecompletion,1321296037916
stopped,bundle,com.python.pydev.refactoring,2.0.0.2011040403,com.python.pydev.refactoring,1321296037916
stopped,bundle,com.python.pydev.analysis,2.0.0.2011040403,com.python.pydev.analysis,1321296037916
stopped,bundle,com.python.pydev.debug,2.0.0.2011040403,com.python.pydev.debug,1321296037916
stopped,bundle,com.python.pydev.fastparser,2.0.0.2011040403,com.python.pydev.fastparser,1321296037931
stopped,bundle,com.python.pydev,2.0.0.2011040403,com.python.pydev,1321296037931
stopped,bundle,org.python.pydev.django,2.0.0.2011040403,org.python.pydev.django,1321296037931
stopped,bundle,org.python.pydev.customizations,2.0.0.2011040403,org.python.pydev.customizations,1321296037947
stopped,bundle,org.python.pydev.red_core,2.0.0.2011040403,org.python.pydev.red_core,1321296037947
stopped,bundle,org.python.pydev.debug,2.0.0.2011040403,org.python.pydev.debug,1321296037947
stopped,bundle,org.python.pydev.refactoring,2.0.0.2011040403,org.python.pydev.refactoring,1321296037963
stopped,bundle,org.python.pydev,2.0.0.2011040403,org.python.pydev,1321296037963
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1321296037963
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1321296037963
