what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1321295978687
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,org.tigris.subversion.subclipse.ui,1321295978687
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1321295978687
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1321295978687
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1321295978703
started,bundle,com.python.pydev.analysis,2.0.0.2011040403,com.python.pydev.analysis,1321295978703
started,bundle,org.python.pydev,2.0.0.2011040403,org.python.pydev,1321295978703
started,bundle,org.python.pydev.core,2.0.0.2011040403,org.python.pydev.core,1321295978703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1321296008496
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1321296011995
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.core,1321296012058
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200809120802,org.eclipse.cdt.managedbuilder.gnu.ui,1321296012308
started,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,de.innot.avreclipse.core,1321296012652
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1321296016698
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1321296031947
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1321296037056
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1321296037244
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1321296037822
stopped,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1321296037822
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1321296037822
stopped,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,de.innot.avreclipse.core,1321296037869
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1321296037869
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.ui,1321296037869
stopped,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1321296037884
stopped,bundle,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui,1321296037884
